,Unnamed: 0,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio,Day
0,0,0.4148429169356653,0.3068217541653568,0.3655251282261986,0.7882999176050536,0.2647540831821044,0.3895709399235554,01-01-2021
1,1,0.4181797079582466,0.3093366865765482,0.367915031739836,0.7939577039274924,0.2668836339394838,0.3909599753684194,01-02-2021
2,2,0.4229382621121887,0.31562401760452685,0.3758653984427964,0.7651194726723428,0.2699205584978335,0.3988923369141174,01-03-2021
3,3,0.4285310140217761,0.3225400817353033,0.38325424053796797,0.7469925844548201,0.273489870745528,0.40704248678801214,01-04-2021
4,4,0.4374895725280545,0.34234517447343604,0.3921633077908116,0.7399066190606977,0.27920725158327475,0.43875601304416,01-05-2021
5,5,0.4469631574747746,0.3596353348003772,0.4008943306558197,0.7385882999176051,0.2852533239509648,0.4636389968104094,01-06-2021
6,6,0.458344516419188,0.3728387299591323,0.4083653470838384,0.7625377643504532,0.29251694381689586,0.4767512134452924,01-07-2021
7,7,0.4690730249461398,0.3917007230430682,0.4140764632167143,0.7946717934633343,0.29936391244768723,0.5020856371113851,01-08-2021
8,8,0.4743828750081606,0.3957874882112543,0.41822626702549465,0.8008788794287284,0.3027526758268213,0.5035310742049492,01-09-2021
9,9,0.47684919880746,0.39735932096824894,0.4275393580815033,0.7445756660258172,0.3043266916040147,0.5035242627170002,01-10-2021
10,10,0.4843642325017953,0.4055328513046212,0.4346131985674275,0.7433122768470201,0.3091228102662865,0.5103977960798523,01-11-2021
11,11,0.4921258985760608,0.4193649795661741,0.4448439030068959,0.7176050535567152,0.3140763305062776,0.5282316152096145,01-12-2021
12,12,0.5013093277816869,0.4432568374724928,0.4537461223986688,0.7115627574842076,0.3199372245472389,0.563887424425846,01-13-2021
13,13,0.5098544143569061,0.4570889657340458,0.4617786634344762,0.7094204888766823,0.3253907262693975,0.5797650718656933,01-14-2021
14,14,0.5170357689489833,0.4712354605469978,0.4635522594517602,0.7471024443834112,0.3299738898559313,0.5977803332986229,01-15-2021
15,15,0.5206264462450221,0.4781515246777743,0.4673939095123639,0.7422686075254051,0.3322654716491982,0.6063628280972273,01-16-2021
16,16,0.5226865520067896,0.4816095567431625,0.4795625586348104,0.6596539412249383,0.3335802377689716,0.6102626979494556,01-17-2021
17,17,0.5266326700856685,0.4900974536309337,0.480397997685423,0.6813512771216699,0.33609866301248104,0.621279914336172,01-18-2021
18,18,0.5326098783522055,0.5083307136120717,0.4966342762838028,0.5931886844273552,0.3399133365430911,0.6480808217996685,01-19-2021
19,19,0.5379197284142263,0.52059100911663,0.5028521341359027,0.5813787421038177,0.3433020999222252,0.6640619443360434,01-20-2021
20,20,0.5444554864823694,0.5328513046211883,0.5074675924974834,0.5917055753913759,0.3474732417317877,0.6781016718493762,01-21-2021
21,21,0.5489166310016902,0.5407104684061615,0.5137744725435011,0.5735237572095578,0.3503203585052407,0.6866014961718152,01-22-2021
22,22,0.5522751837048536,0.5463690663313423,0.5178900370469284,0.5649546827794563,0.35246379763712465,0.6924577327317585,01-23-2021
23,23,0.5534358066692298,0.5466834328827412,0.5239709376776165,0.5249107388080198,0.35320451094403915,0.6914001166412673,01-24-2021
24,24,0.5561124933808221,0.5551713297705124,0.5294081393676686,0.5000823949464434,0.35491278100811074,0.7034510573371526,01-25-2021
25,25,0.559253429278165,0.565859792518076,0.5351740383891093,0.4757484207635265,0.3569173363949484,0.7188492600933565,01-26-2021
26,26,0.5657093945175073,0.5856648852562087,0.5351740383891093,0.5211755012359243,0.3610375541646607,0.7461540126288544,01-27-2021
27,27,0.5693943724294015,0.5963533480037724,0.5441584321137294,0.4751441911562758,0.3633893189141143,0.7604247479603918,01-28-2021
28,28,0.5733912677629718,0.6079849104055328,0.5447062609993769,0.4989837956605329,0.3659401503648013,0.7758364105169038,01-29-2021
29,29,0.5758430837752164,0.6183590066016976,0.5513692298210655,0.4622905795111233,0.3675049072256583,0.7911243082703157,01-30-2021
30,30,0.5765176958732601,0.620873939012889,0.5514993391814067,0.4659159571546279,0.36793544683530255,0.7946972933267293,01-31-2021
31,31,0.5798544868958413,0.6268469034894687,0.5620792845354754,0.4052732765723702,0.37006499759268185,0.8005557802966787,02-01-2021
32,32,0.5824151113109961,0.6372209996856335,0.5681738808883046,0.3739631969239221,0.371699196326062,0.8154971590194777,02-02-2021
33,33,0.5871228882102468,0.6523105941527821,0.5751039162917462,0.35138698159846193,0.3747037146772343,0.8355723879186743,02-03-2021
34,34,0.5905975032098478,0.6661427224143351,0.5810204682567399,0.3278220269156825,0.3769212251398096,0.8550827181221892,02-04-2021
35,35,0.593143619837948,0.6768311851618988,0.5837733084071189,0.32315297995056297,0.3785461649568535,0.8702699955259656,02-05-2021
36,36,0.5947902536686567,0.6809179503300848,0.5860125589772034,0.3169458939851689,0.3795970519610384,0.8750046712148274,02-06-2021
37,37,0.5958783376977592,0.6821754165356806,0.5920249809971856,0.2767371601208459,0.3802914706862709,0.8755525313697445,02-07-2021
38,38,0.597938443459527,0.6868909148066645,0.5921276989132445,0.29068937105190884,0.3816062368060442,0.8807364199068022,02-08-2021
39,39,0.6001291193047869,0.6934926123860421,0.6017489437174299,0.22894809118374074,0.38300433317284543,0.8890374413236009,02-09-2021
40,40,0.6040679834901383,0.7088965734045898,0.6057549424437276,0.2239494644328481,0.3855181289581868,0.9101002092144426,02-10-2021
41,41,0.6069622870075513,0.7145551713297705,0.6108565989413206,0.2039549574292777,0.387365282767305,0.915498568414149,02-11-2021
